Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Scholar Profile
Guiwu Wei,Spherical fuzzy TODIM method for MAGDM integrating cumulative prospect theory and CRITIC method and its application to commercial insurance selection,http://dx.doi.org/10.1007/s10462-023-10409-3,"Zhang, Huiyuan | Wang, Hongjun | Wei, Guiwu","Artificial Intelligence Review, volume 56, issue 9, pages 10275-10296 (2023).",http://dx.doi.org/10.1007/s10462-023-10409-3,https://scholargps.com/scholars/78021622765809/guiwu-wei
Mike Thelwall,Academic Publishing in Small Island Developing States: Does University Research Support Development?,http://dx.doi.org/10.1057/s41307-024-00368-x,"Nunkoo, Robin | Thelwall, Michael | Croes, Robertico | Ridderstaat, Jorge | Alrasheedi, Adel Fahad",Higher Education Policy (2024).,http://dx.doi.org/10.1057/s41307-024-00368-x,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Which international co‐authorships produce higher quality journal articles?,http://dx.doi.org/10.1002/asi.24881,"Thelwall, Mike | Kousha, Kayvan | Abdoli, Mahshid | Stuart, Emma | Makita, Meiko | Wilson, Paul | Levitt, Jonathan","Journal of the Association for Information Science and Technology, volume 75, issue 7, pages 769-788 (2024).",http://dx.doi.org/10.1002/asi.24881,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Factors associating with or predicting more cited or higher quality journal articles: An Annual Review of Information Science and Technology (ARIST) paper,http://dx.doi.org/10.1002/asi.24810,"Kousha, Kayvan | Thelwall, Mike","Journal of the Association for Information Science and Technology, volume 75, issue 3, pages 215-244 (2024).",http://dx.doi.org/10.1002/asi.24810,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Artificial intelligence to support publishing and peer review: A summary and review,http://dx.doi.org/10.1002/leap.1570,"Kousha, Kayvan | Thelwall, Mike","Learned Publishing, volume 37, issue 1, pages 4-12 (2024).",http://dx.doi.org/10.1002/leap.1570,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Identifying disability-related barriers to academic employment,http://dx.doi.org/10.1080/03075079.2023.2290634,"Levitt, Jonathan M. | Thelwall, Mike | Moreira, Felipe",Studies in Higher Education (2023).,http://dx.doi.org/10.1080/03075079.2023.2290634,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"What is research funding, how does it influence research, and how is it recorded? Key dimensions of variation",http://dx.doi.org/10.1007/s11192-023-04836-w,"Thelwall, Mike | Simrick, Subreena | Viney, Ian | Van den Besselaar, Peter","Scientometrics, volume 128, issue 11, pages 6085-6106 (2023).",http://dx.doi.org/10.1007/s11192-023-04836-w,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Word Association Thematic Analysis: Insight Discovery from the Social Web,http://dx.doi.org/10.1007/s42979-023-02289-9,"Thelwall, Mike","SN Computer Science, volume 4, issue 6 (2023).",http://dx.doi.org/10.1007/s42979-023-02289-9,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Does the perceived quality of interdisciplinary research vary between fields?,http://dx.doi.org/10.1108/JD-01-2023-0012,"Thelwall, Mike | Kousha, Kayvan | Stuart, Emma | Makita, Meiko | Abdoli, Mahshid | Wilson, Paul | Levitt, Jonathan M.","Journal of Documentation, volume 79, issue 6, pages 1514-1531 (2023).",http://dx.doi.org/10.1108/JD-01-2023-0012,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Data sharing and reuse practices: disciplinary differences and improvements needed,http://dx.doi.org/10.1108/OIR-08-2021-0423,"Khan, Nushrat | Thelwall, Mike | Kousha, Kayvan","Online Information Review, volume 47, issue 6, pages 1036-1064 (2023).",http://dx.doi.org/10.1108/OIR-08-2021-0423,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"Can journal reviewers dependably assess rigour, significance, and originality in theoretical papers? Evidence from physics",http://dx.doi.org/10.1093/reseval/rvad018,"Thelwall, Mike | Hołyst, Janusz A","Research Evaluation, volume 32, issue 2, pages 526-542 (2023).",http://dx.doi.org/10.1093/reseval/rvad018,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Technology assisted research assessment: algorithmic bias and transparency issues,http://dx.doi.org/10.1108/AJIM-04-2023-0119,"Thelwall, Mike | Kousha, Kayvan",Aslib Journal of Information Management (2023).,http://dx.doi.org/10.1108/AJIM-04-2023-0119,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"Do bibliometrics introduce gender, institutional or interdisciplinary biases into research evaluations?",http://dx.doi.org/10.1016/j.respol.2023.104829,"Thelwall, Mike | Kousha, Kayvan | Stuart, Emma | Makita, Meiko | Abdoli, Mahshid | Wilson, Paul | Levitt, Jonathan","Research Policy, volume 52, issue 8, pages 104829- (2023).",http://dx.doi.org/10.1016/j.respol.2023.104829,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"Academic LGBTQ+ Terminology 1900-2021: Increasing Variety, Increasing Inclusivity?",http://dx.doi.org/10.1080/00918369.2022.2070446,"Thelwall, Mike | Devonport, Tracey Jayne | Makita, Meiko | Russell, Kate | Ferguson, Lois","Journal of Homosexuality, volume 70, issue 11, pages 2514-2538 (2023).",http://dx.doi.org/10.1080/00918369.2022.2070446,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Terms in journal articles associating with high quality: can qualitative research be world-leading?,http://dx.doi.org/10.1108/JD-12-2022-0261,"Thelwall, Mike | Kousha, Kayvan | Abdoli, Mahshid | Stuart, Emma | Makita, Meiko | Wilson, Paul | Levitt, Jonathan M.","Journal of Documentation, volume 79, issue 5, pages 1110-1123 (2023).",http://dx.doi.org/10.1108/JD-12-2022-0261,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,In which fields are citations indicators of research quality?,http://dx.doi.org/10.1002/asi.24767,"Thelwall, Mike | Kousha, Kayvan | Stuart, Emma | Makita, Meiko | Abdoli, Mahshid | Wilson, Paul | Levitt, Jonathan","Journal of the Association for Information Science and Technology, volume 74, issue 8, pages 941-953 (2023).",http://dx.doi.org/10.1002/asi.24767,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Why are coauthored academic articles more cited: Higher quality or larger audience?,http://dx.doi.org/10.1002/asi.24755,"Thelwall, Mike | Kousha, Kayvan | Abdoli, Mahshid | Stuart, Emma | Makita, Meiko | Wilson, Paul | Levitt, Jonathan","Journal of the Association for Information Science and Technology, volume 74, issue 7, pages 791-810 (2023).",http://dx.doi.org/10.1002/asi.24755,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,In which fields do higher impact journals publish higher quality articles?,http://dx.doi.org/10.1007/s11192-023-04735-0,"Thelwall, Mike | Kousha, Kayvan | Makita, Meiko | Abdoli, Mahshid | Stuart, Emma | Wilson, Paul | Levitt, Jonathan","Scientometrics, volume 128, issue 7, pages 3915-3933 (2023).",http://dx.doi.org/10.1007/s11192-023-04735-0,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"‘Nobody needs a label’: responses on Facebook to a Team GB equity, diversity and inclusion initiative",http://dx.doi.org/10.1080/17430437.2022.2115365,"Devonport, Tracey J. | Leflay, Kath | Biscomb, Kay | Richardson-Walsh, Helen | Richardson-Walsh, Kate | Thelwall, Michael","Sport in Society, volume 26, issue 6, pages 1113-1132 (2023).",http://dx.doi.org/10.1080/17430437.2022.2115365,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,"Journal and disciplinary variations in academic open peer review anonymity, outcomes, and length",http://dx.doi.org/10.1177/09610006221079345,"Thelwall, Mike","Journal of Librarianship and Information Science, volume 55, issue 2, pages 299-312 (2023).",http://dx.doi.org/10.1177/09610006221079345,https://scholargps.com/scholars/37192170410417/mike-thelwall
Mike Thelwall,Do altmetric scores reflect article quality? Evidence from the UK Research Excellence Framework 2021,http://dx.doi.org/10.1002/asi.24751,"Thelwall, Mike | Kousha, Kayvan | Abdoli, Mahshid | Stuart, Emma | Makita, Meiko | Wilson, Paul | Levitt, Jonathan","Journal of the Association for Information Science and Technology, volume 74, issue 5, pages 582-593 (2023).",http://dx.doi.org/10.1002/asi.24751,https://scholargps.com/scholars/37192170410417/mike-thelwall
Andrew Gelman,Statistics as a Social Activity: Attitudes toward Amalgamating Evidence,http://dx.doi.org/10.3390/e26080652,"Gelman, Andrew | O’Rourke, Keith","Entropy, volume 26, issue 8, pages 652- (2024).",http://dx.doi.org/10.3390/e26080652,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Bayesian workflow for time-varying transmission in stratified compartmental infectious disease transmission models,http://dx.doi.org/10.1371/journal.pcbi.1011575,"Bouman, Judith A. | Hauser, Anthony | Grimm, Simon L. | Wohlfender, Martin | Bhatt, Samir | Semenova, Elizaveta | Gelman, Andrew | Althaus, Christian L. | Riou, Julien","PLOS Computational Biology, volume 20, issue 4, pages e1011575- (2024).",http://dx.doi.org/10.1371/journal.pcbi.1011575,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Week by week: the second semester,http://dx.doi.org/10.1017/9781009436243.005,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.005,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Outlines of classroom activities,http://dx.doi.org/10.1017/9781009436243.008,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.008,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Final exam questions,http://dx.doi.org/10.1017/9781009436243.007,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.007,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Pre-test questions,http://dx.doi.org/10.1017/9781009436243.006,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.006,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Week by week: the first semester,http://dx.doi.org/10.1017/9781009436243.004,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.004,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Setting up a course of study,http://dx.doi.org/10.1017/9781009436243.003,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.003,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Active learning,http://dx.doi.org/10.1017/9781009436243.002,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.002,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,How to use this book,http://dx.doi.org/10.1017/9781009436243.001,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.001,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Active Statistics,http://dx.doi.org/10.1017/9781009436243,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Using leave‐one‐out cross validation (LOO) in a multilevel regression and poststratification (MRP) workflow: A cautionary tale,http://dx.doi.org/10.1002/sim.9964,"Kuh, Swen | Kennedy, Lauren | Chen, Qixuan | Gelman, Andrew","Statistics in Medicine, volume 43, issue 5, pages 953-982 (2024).",http://dx.doi.org/10.1002/sim.9964,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,"Past, Present and Future of Software for Bayesian Inference",http://dx.doi.org/10.1214/23-STS907,"Štrumbelj, Erik | Bouchard-Côté, Alexandre | Corander, Jukka | Gelman, Andrew | Rue, Håvard | Murray, Lawrence | Pesonen, Henri | Plummer, Martyn | Vehtari, Aki","Statistical Science, volume 39, issue 1 (2024).",http://dx.doi.org/10.1214/23-STS907,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Hopes and Limitations of Reproducible Statistics and Machine Learning,http://dx.doi.org/10.1162/99608f92.040d5523,"Gelman, Andrew","Harvard Data Science Review, volume 6, issue 1 (2024).",http://dx.doi.org/10.1162/99608f92.040d5523,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Commentaries on “Beyond statistical significance: Five principles for the new era of data analysis and reporting”,http://dx.doi.org/10.1002/jcpy.1378,"Schwarz, Norbert | Strack, Fritz | Gelman, Andrew | van Osselaer, Stijn M. J. | Huber, Joel","Journal of Consumer Psychology, volume 34, issue 1, pages 187-195 (2024).",http://dx.doi.org/10.1002/jcpy.1378,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,A New Look at P Values for Randomized Clinical Trials,http://dx.doi.org/10.1056/EVIDoa2300003,"van Zwet, Erik | Gelman, Andrew | Greenland, Sander | Imbens, Guido | Schwab, Simon | Goodman, Steven N.","NEJM Evidence, volume 3, issue 1 (2024).",http://dx.doi.org/10.1056/EVIDoa2300003,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Abandon statistical significance.,http://dx.doi.org/10.1037/0000409-020,"McShane, Blakeley B. | Gal, David | Gelman, Andrew | Robert, Christian | Tackett, Jennifer L.",American Psychological Association (2024),http://dx.doi.org/10.1037/0000409-020,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Nested Rˆ: Assessing the Convergence of Markov Chain Monte Carlo When Running Many Short Chains,http://dx.doi.org/10.1214/24-BA1453,"Margossian, Charles C. | Hoffman, Matthew D. | Sountsov, Pavel | Riou-Durand, Lionel | Vehtari, Aki | Gelman, Andrew","Bayesian Analysis, volume -1, issue -1 (2024).",http://dx.doi.org/10.1214/24-BA1453,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,In Pursuit of Campus-Wide Data Literacy: A Guide to Developing a Statistics Course for Students in Nonquantitative Fields,http://dx.doi.org/10.1080/26939169.2023.2276844,"Lerner, Alexis | Gelman, Andrew",Journal of Statistics and Data Science Education (2023).,http://dx.doi.org/10.1080/26939169.2023.2276844,https://scholargps.com/scholars/54874277864582/andrew-gelman
Andrew Gelman,Generically partisan: Polarization in political communication,http://dx.doi.org/10.1073/pnas.2309361120,"Novoa, Gustavo | Echelbarger, Margaret | Gelman, Andrew | Gelman, Susan A.","Proceedings of the National Academy of Sciences, volume 120, issue 47 (2023).",http://dx.doi.org/10.1073/pnas.2309361120,https://scholargps.com/scholars/54874277864582/andrew-gelman
Malin Song,The impact of carbon emission trading schemes on China’s economic inequalities between and within urban and rural areas based on the satellite data: a county-level analysis,http://dx.doi.org/10.1080/14693062.2024.2358986,"Gao, Ming | Song, Malin | Liu, Yu | Chen, Jiandong",Climate Policy (2024).,http://dx.doi.org/10.1080/14693062.2024.2358986,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Auditing the Leader: The Impact of Targeting Local Officials’ Environmental Regulations on Innovation,http://dx.doi.org/10.1007/s13132-024-02028-2,"Zhou, Zhengqing | Ai, Hongshan | Liu, Jiacheng | Song, Malin | Yang, Huiyu",Journal of the Knowledge Economy (2024).,http://dx.doi.org/10.1007/s13132-024-02028-2,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Robust optimization model of anti-epidemic supply chain under technological innovation: learning from COVID-19,http://dx.doi.org/10.1007/s10479-022-04855-5,"Song, Malin | Yuan, Sai | Bo, Hongguang | Song, Jinbo | Pan, Xiongfeng | Jin, Kairui","Annals of Operations Research, volume 335, issue 3, pages 1331-1361 (2024).",http://dx.doi.org/10.1007/s10479-022-04855-5,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,An evaluative study of economic security from the perspective of land resource assets,http://dx.doi.org/10.1016/j.landusepol.2024.107062,"Wang, Shuhong | Liu, Xintian | Chen, Xueli | Song, Malin","Land Use Policy, volume 139 (2024).",http://dx.doi.org/10.1016/j.landusepol.2024.107062,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Energy and environmental efficiency of China's regional electric power industry by considering renewable energy constraints,http://dx.doi.org/10.1177/0958305X221139256,"Chen, Xifan | Zhu, Qingyuan | Xu, Chengzhen | Shen, Zhiyang | Song, Malin","Energy & Environment, volume 35, issue 2, pages 927-949 (2024).",http://dx.doi.org/10.1177/0958305X221139256,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,The economic growth–travel frequency nexus in China: Importance of the transport Kuznets curve,http://dx.doi.org/10.1111/twec.13452,"Jiao, Zhilun | Shafiullah, Muhammad | Khalid, Usman | Song, Malin | Shahbaz, Muhammad","The World Economy, volume 47, issue 3, pages 898-929 (2024).",http://dx.doi.org/10.1111/twec.13452,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Assessing the influence of artificial intelligence on the energy efficiency for sustainable ecological products value,http://dx.doi.org/10.1016/j.eneco.2024.107392,"Song, Malin | Pan, Heting | Shen, Zhiyang | Tamayo-Verleene, Kristine","Energy Economics, volume 131 (2024).",http://dx.doi.org/10.1016/j.eneco.2024.107392,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,"Uncovering the Interactions Between the Enterprise AI Transformation, Supply Chain Concentration, and Corporate Risk-Taking Capacity",http://dx.doi.org/10.1109/TEM.2024.3411631,"Sun, Yuhuan | Wan, Lu | Mangla, Sachin K. | Xu, Xiaofeng | Song, Malin","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3411631,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Climate Policy Uncertainty and Entrepreneur Eco-Investment Behavior for Green Growth—Moderate Effect Analysis of Twin Transition,http://dx.doi.org/10.1109/TEM.2024.3383475,"Pan, Xianyou | Mangla, Sachin Kumar | Song, Malin | Vrontis, Demetris","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3383475,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,"Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China",http://dx.doi.org/10.1109/TEM.2024.3357350,"Ai, Hongshan | Islam, Nazrul | Kumar Mangla, Sachin | Song, Malin | Tan, Xiaoqing","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3357350,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Carbon emission inequality and fairness from energy consumption by prefecture-level cities in China,http://dx.doi.org/10.1016/j.ecolind.2023.111364,"Hou, Jianchao | Wan, Minghua | Song, Malin","Ecological Indicators, volume 158 (2024).",http://dx.doi.org/10.1016/j.ecolind.2023.111364,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Carbon Neutrality and Environmental Governance,http://dx.doi.org/10.1007/978-981-99-9923-1_4,"Deng, Xiangzheng | Song, Malin | Li, Zhihui | Zhang, Fan | Liu, Yuexian",Springer Nature Singapore (2024),http://dx.doi.org/10.1007/978-981-99-9923-1_4,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Depletable and Non-renewable Energy Resources: Coal and Oil Resources,http://dx.doi.org/10.1007/978-981-99-9923-1_9,"Deng, Xiangzheng | Song, Malin | Li, Zhihui | Zhang, Fan | Liu, Yuexian",Springer Nature Singapore (2024),http://dx.doi.org/10.1007/978-981-99-9923-1_9,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Environmental Resource Allocation Efficiency and Sustainable Development,http://dx.doi.org/10.1007/978-981-99-9923-1_3,"Deng, Xiangzheng | Song, Malin | Li, Zhihui | Zhang, Fan | Liu, Yuexian",Springer Nature Singapore (2024),http://dx.doi.org/10.1007/978-981-99-9923-1_3,https://scholargps.com/scholars/54475957797840/malin-song
Malin Song,Environment and Natural Resources Economics: Overview,http://dx.doi.org/10.1007/978-981-99-9923-1_1,"Deng, Xiangzheng | Song, Malin | Li, Zhihui | Zhang, Fan | Liu, Yuexian",Springer Nature Singapore (2024),http://dx.doi.org/10.1007/978-981-99-9923-1_1,https://scholargps.com/scholars/54475957797840/malin-song
